starttime	seconds	ctime	dtime	ttime	wait
Sun Feb 26 13:49:54 2017	1488138594	1	462	462	1
Sun Feb 26 13:49:54 2017	1488138594	0	465	465	0
Sun Feb 26 13:49:54 2017	1488138594	2	493	495	1
Sun Feb 26 13:49:54 2017	1488138594	0	513	513	1
Sun Feb 26 13:48:51 2017	1488138531	0	730	731	1
Sun Feb 26 13:48:51 2017	1488138531	0	734	735	1
Sun Feb 26 13:48:51 2017	1488138531	1	736	737	10
Sun Feb 26 13:48:51 2017	1488138531	0	741	741	1
Sun Feb 26 13:48:51 2017	1488138531	0	744	744	1
Sun Feb 26 13:48:51 2017	1488138531	0	762	762	1
Sun Feb 26 13:48:51 2017	1488138531	0	763	763	1
Sun Feb 26 13:48:51 2017	1488138531	0	763	763	1
Sun Feb 26 13:48:51 2017	1488138531	0	768	768	1
Sun Feb 26 13:48:52 2017	1488138532	0	796	797	1
Sun Feb 26 13:48:52 2017	1488138532	0	797	797	1
Sun Feb 26 13:48:52 2017	1488138532	0	798	798	1
Sun Feb 26 13:48:52 2017	1488138532	0	798	798	1
Sun Feb 26 13:48:52 2017	1488138532	0	800	800	1
Sun Feb 26 13:48:52 2017	1488138532	0	802	803	1
Sun Feb 26 13:48:52 2017	1488138532	0	808	809	1
Sun Feb 26 13:48:52 2017	1488138532	0	816	816	1
Sun Feb 26 13:48:52 2017	1488138532	0	863	864	1
Sun Feb 26 13:48:52 2017	1488138532	0	898	898	1
Sun Feb 26 13:49:53 2017	1488138593	0	937	938	1
Sun Feb 26 13:48:52 2017	1488138532	0	947	947	1
Sun Feb 26 13:48:52 2017	1488138532	0	948	948	1
Sun Feb 26 13:48:52 2017	1488138532	0	992	992	1
Sun Feb 26 13:48:52 2017	1488138532	0	1013	1013	1
Sun Feb 26 13:48:52 2017	1488138532	0	1013	1013	1
Sun Feb 26 13:48:54 2017	1488138534	0	1014	1014	1
Sun Feb 26 13:48:55 2017	1488138535	0	1019	1019	1
Sun Feb 26 13:48:52 2017	1488138532	0	1021	1021	2
Sun Feb 26 13:48:52 2017	1488138532	0	1025	1025	1
Sun Feb 26 13:48:53 2017	1488138533	0	1026	1026	1
Sun Feb 26 13:48:55 2017	1488138535	0	1026	1026	1
Sun Feb 26 13:48:55 2017	1488138535	0	1027	1027	1
Sun Feb 26 13:48:52 2017	1488138532	0	1028	1028	1
Sun Feb 26 13:48:54 2017	1488138534	0	1029	1029	1
Sun Feb 26 13:48:55 2017	1488138535	1	1030	1031	1
Sun Feb 26 13:48:55 2017	1488138535	0	1031	1031	1
Sun Feb 26 13:48:53 2017	1488138533	0	1033	1033	1
Sun Feb 26 13:48:52 2017	1488138532	1	1037	1037	31
Sun Feb 26 13:48:53 2017	1488138533	0	1041	1041	1
Sun Feb 26 13:48:52 2017	1488138532	8	1037	1045	8
Sun Feb 26 13:48:55 2017	1488138535	0	1045	1045	1
Sun Feb 26 13:48:53 2017	1488138533	0	1052	1052	1
Sun Feb 26 13:48:52 2017	1488138532	1	1052	1053	26
Sun Feb 26 13:48:53 2017	1488138533	0	1053	1053	1
Sun Feb 26 13:48:53 2017	1488138533	0	1055	1056	1
Sun Feb 26 13:48:53 2017	1488138533	0	1056	1057	1
Sun Feb 26 13:48:53 2017	1488138533	0	1056	1057	1
Sun Feb 26 13:48:52 2017	1488138532	0	1056	1057	14
Sun Feb 26 13:48:54 2017	1488138534	6	1055	1061	21
Sun Feb 26 13:48:53 2017	1488138533	0	1063	1063	2
Sun Feb 26 13:48:54 2017	1488138534	0	1063	1063	1
Sun Feb 26 13:48:53 2017	1488138533	1	1063	1064	1
Sun Feb 26 13:48:53 2017	1488138533	1	1064	1065	1
Sun Feb 26 13:49:04 2017	1488138544	2	1068	1070	1
Sun Feb 26 13:48:52 2017	1488138532	0	1071	1072	31
Sun Feb 26 13:48:53 2017	1488138533	0	1077	1077	1
Sun Feb 26 13:48:50 2017	1488138530	0	1081	1081	108
Sun Feb 26 13:48:54 2017	1488138534	0	1081	1081	1
Sun Feb 26 13:48:54 2017	1488138534	0	1082	1082	1
Sun Feb 26 13:48:53 2017	1488138533	0	1083	1084	1
Sun Feb 26 13:48:54 2017	1488138534	0	1085	1086	1
Sun Feb 26 13:48:54 2017	1488138534	0	1086	1086	1
Sun Feb 26 13:48:54 2017	1488138534	6	1082	1087	18
Sun Feb 26 13:48:55 2017	1488138535	9	1081	1090	6
Sun Feb 26 13:48:53 2017	1488138533	0	1090	1091	1
Sun Feb 26 13:49:03 2017	1488138543	0	1094	1094	1
Sun Feb 26 13:48:53 2017	1488138533	0	1095	1095	1
Sun Feb 26 13:48:53 2017	1488138533	0	1095	1095	3
Sun Feb 26 13:48:54 2017	1488138534	0	1096	1096	1
Sun Feb 26 13:48:53 2017	1488138533	0	1097	1097	1
Sun Feb 26 13:48:50 2017	1488138530	0	1097	1097	109
Sun Feb 26 13:48:52 2017	1488138532	1	1099	1100	39
Sun Feb 26 13:48:55 2017	1488138535	5	1095	1100	15
Sun Feb 26 13:49:03 2017	1488138543	1	1103	1103	1
Sun Feb 26 13:48:52 2017	1488138532	4	1099	1104	35
Sun Feb 26 13:49:03 2017	1488138543	1	1103	1105	1
Sun Feb 26 13:48:53 2017	1488138533	1	1105	1106	0
Sun Feb 26 13:48:50 2017	1488138530	0	1112	1113	107
Sun Feb 26 13:48:50 2017	1488138530	1	1117	1118	153
Sun Feb 26 13:48:50 2017	1488138530	0	1120	1121	153
Sun Feb 26 13:48:50 2017	1488138530	0	1122	1122	153
Sun Feb 26 13:49:03 2017	1488138543	1	1124	1124	1
